model,feature_mode,mse,mae,r2
Random Forest Physics,Random Forest Physics,3.280857823334508e-10,7.054503940671609e-06,0.9999999903179692
Gradient Boosting Physics,Gradient Boosting Physics,4.6993084064857557e-07,0.0003778171139554623,0.999986132026699
Operational Quantum-AI MLP,Operational Quantum-AI MLP,4.8705742338485504e-05,0.004399608905972458,0.998562660979169
Quantum-AI MLP Full-Physics,Quantum-AI MLP Full-Physics,5.210728685593852e-05,0.004908449670624953,0.9984622791262029
MLP Physics,MLP Physics,0.00010698725948047054,0.006030677812822585,0.9968427344415705
